ОбразовательнаяПрограмма,ГруппаВакансий,КлючевоеТребование,КраткоеОписание,Дисциплина,Аннотация
Информационные системы и технологии в бизнесе,Frontend-разработчик,Git,Система контроля версий,/Не выявлено/,
Информационные системы и технологии в бизнесе,Frontend-разработчик,React,"Библиотека JavaScript, которая используется для создания пользовательских интерфейсов",Разработка мобильных приложений,"Целью освоения дисциплины является теоретическая и практическая подготовка студентов в области разработки программ для мобильных устройств (смартфоны на Android, Iphone, планшеты) с использованием различных современных языков программирования (Java, Javascript, Swift).  "
Информационные системы и технологии в бизнесе,Frontend-разработчик,REST,"Архитектурный стиль для разработки распределенных систем, в котором взаимодействие между клиентом и сервером основано на передаче и обработке данных через стандартные методы протокола HTTP. REST стал популярным подходом для разработки веб-сервисов и API, используемых во многих приложениях.",/Не выявлено/,
Информационные системы и технологии в бизнесе,Backend-разработчик,SQL,Язык программирования,Управление данными,"Дисциплина имеет практическую направленность на умение студентами грамотно спроектировать базу данных, построить запросы к ней и разработать информационную систему на ее основе, включая прототипирование интерфейсов пользователей."
Информационные системы и технологии в бизнесе,Backend-разработчик,Git,Система контроля версий,/Не выявлено/,
Информационные системы и технологии в бизнесе,Backend-разработчик,PostgreSQL,Объектно-реляционная система управления базами данных (СУБД),Управление данными,"Дисциплина имеет практическую направленность на умение студентами грамотно спроектировать базу данных, построить запросы к ней и разработать информационную систему на ее основе, включая прототипирование интерфейсов пользователей."
Информационные системы и технологии в бизнесе,Backend-разработчик,PHP,"Язык программирования, который используется для разработки веб-приложений и динамических веб-сайтов",Интернет­технологии,"Рассматриваются технологии, позволяющие «оживить» интернет­ страницы, а также дается обзор наиболее часто используемых языков и фреймворков."
Информационные системы и технологии в бизнесе,Backend-разработчик,API,"Набор готовых функций и инструментов, предоставляемых разработчикам программного обеспечения для взаимодействия с определенным программным обеспечением и использования его возможностей.",/Не выявлено/,
Информационные системы и технологии в бизнесе,Backend-разработчик,Linux,Операционная система,Операционные системы,"Дисциплина рассматривает основные принципы функционирования операционных систем. Начиная с нижнего уровня операционной системы, рассматриваются функции управления последовательным выполнением программ, управления параллельными процессами, управления памятью, управления коммуникациями, управления файлами и управления информацией."
Информационные системы и технологии в бизнесе,Backend-разработчик,SQL,Язык программирования,Управление данными,"Дисциплина имеет практическую направленность на умение студентами грамотно спроектировать базу данных, построить запросы к ней и разработать информационную систему на ее основе, включая прототипирование интерфейсов пользователей."
Информационные системы и технологии в бизнесе,Backend-разработчик,Git,Система контроля версий,/Не выявлено/,
Информационные системы и технологии в бизнесе,Backend-разработчик,PostgreSQL,Объектно-реляционная система управления базами данных (СУБД),Управление данными,"Дисциплина имеет практическую направленность на умение студентами грамотно спроектировать базу данных, построить запросы к ней и разработать информационную систему на ее основе, включая прототипирование интерфейсов пользователей."
Информационные системы и технологии в бизнесе,Backend-разработчик,PHP,"Язык программирования, который используется для разработки веб-приложений и динамических веб-сайтов",Интернет­технологии,"Рассматриваются технологии, позволяющие «оживить» интернет­ страницы, а также дается обзор наиболее часто используемых языков и фреймворков."
Информационные системы и технологии в бизнесе,Backend-разработчик,API,"Набор готовых функций и инструментов, предоставляемых разработчикам программного обеспечения для взаимодействия с определенным программным обеспечением и использования его возможностей.",/Не выявлено/,
Информационные системы и технологии в бизнесе,Backend-разработчик,Linux,Операционная система,Операционные системы,"Дисциплина рассматривает основные принципы функционирования операционных систем. Начиная с нижнего уровня операционной системы, рассматриваются функции управления последовательным выполнением программ, управления параллельными процессами, управления памятью, управления коммуникациями, управления файлами и управления информацией."
Информационные системы и технологии в бизнесе,Fullstack-разработчик,JavaScript (JS),"Язык программирования, который применяется для создания динамических веб-страниц",Интернет­технологии,"В курсе рассматриваются технологии, позволяющие «оживить» интернет­ страницы, а также дается обзор наиболее часто используемых языков и фреймворков."
Информационные системы и технологии в бизнесе,Fullstack-разработчик,JavaScript (JS),"Язык программирования, который применяется для создания динамических веб-страниц",Разработка мобильных приложений,"Целью освоения дисциплины является теоретическая и практическая подготовка студентов в области разработки программ для мобильных устройств (смартфоны на Android, Iphone, планшеты) с использованием различных современных языков программирования (Java, Javascript, Swift)."
Информационные системы и технологии в бизнесе,Fullstack-разработчик,Git,Система контроля версий,/Не выявлено/,
Информационные системы и технологии в бизнесе,Fullstack-разработчик,SQL,Язык программирования,Управление данными,"Дисциплина имеет практическую направленность на умение студентами грамотно спроектировать базу данных, построить запросы к ней и разработать информационную систему на ее основе, включая прототипирование интерфейсов пользователей."
Информационные системы и технологии в бизнесе,Fullstack-разработчик,CSS,"Язык разметки, используемый для описания внешнего вида и форматирования документа, написанного на языке разметки, таком как HTML или XML",Интернет­технологии,"Осуществляется знакомство с HTML и CSS, как с базовыми технологиями при построении интернет приложений.  "
Информационные системы и технологии в бизнесе,Fullstack-разработчик,Docker,"Открытая платформа для автоматизации развертывания, доставки и запуска приложений в контейнерах, облегчает разработку, тестирование и развертывание приложений",/Не выявлено/,
Информационные системы и технологии в бизнесе,Fullstack-разработчик,React,"Библиотека JavaScript, которая используется для создания пользовательских интерфейсов",Разработка мобильных приложений,"Целью освоения дисциплины является теоретическая и практическая подготовка студентов в области разработки программ для мобильных устройств (смартфоны на Android, Iphone, планшеты) с использованием различных современных языков программирования (Java, Javascript, Swift)."
Информационные системы и технологии в бизнесе,Fullstack-разработчик,JavaScript (JS),"Язык программирования, который применяется для создания динамических веб-страниц",Интернет­технологии,"В курсе рассматриваются технологии, позволяющие «оживить» интернет­ страницы, а также дается обзор наиболее часто используемых языков и фреймворков."
Информационные системы и технологии в бизнесе,Fullstack-разработчик,JavaScript (JS),"Язык программирования, который применяется для создания динамических веб-страниц",Разработка мобильных приложений,"Целью освоения дисциплины является теоретическая и практическая подготовка студентов в области разработки программ для мобильных устройств (смартфоны на Android, Iphone, планшеты) с использованием различных современных языков программирования (Java, Javascript, Swift)."
Информационные системы и технологии в бизнесе,Fullstack-разработчик,Git,Система контроля версий,/Не выявлено/,
Информационные системы и технологии в бизнесе,Fullstack-разработчик,SQL,Язык программирования,Управление данными,"Дисциплина имеет практическую направленность на умение студентами грамотно спроектировать базу данных, построить запросы к ней и разработать информационную систему на ее основе, включая прототипирование интерфейсов пользователей."
Информационные системы и технологии в бизнесе,Fullstack-разработчик,CSS,"Язык разметки, используемый для описания внешнего вида и форматирования документа, написанного на языке разметки, таком как HTML или XML",Интернет­технологии,"Осуществляется знакомство с HTML и CSS, как с базовыми технологиями при построении интернет приложений.  "
Информационные системы и технологии в бизнесе,Fullstack-разработчик,Docker,"Открытая платформа для автоматизации развертывания, доставки и запуска приложений в контейнерах, облегчает разработку, тестирование и развертывание приложений",/Не выявлено/,
Информационные системы и технологии в бизнесе,Fullstack-разработчик,React,"Библиотека JavaScript, которая используется для создания пользовательских интерфейсов",Разработка мобильных приложений,"Целью освоения дисциплины является теоретическая и практическая подготовка студентов в области разработки программ для мобильных устройств (смартфоны на Android, Iphone, планшеты) с использованием различных современных языков программирования (Java, Javascript, Swift)."
Информационные системы и технологии в бизнесе,Руководитель IT-проектов,Управление проектами (Project management),"Навыки управления ресурсами, распределения задач, контроля прогресса, риск-менеджмента, коммуникаций и других аспектов проектной деятельности.",Управление IT­проектами,"Данный курс ориентирован на подготовку менеджеров высшего и среднего звена ИТ отрасли, участвующих в управлении проектами компании, или заинтересованных во внедрении проектного управления в своих подразделениях и компании в целом."
Информационные системы и технологии в бизнесе,Руководитель IT-проектов,Scrum,"Методология управления проектами, которая часто применяется в разработке программного обеспечения.",Управление требованиями,Рассматриваются основные приемы выявления и анализа требований к программному обеспечению.
Информационные системы и технологии в бизнесе,Руководитель IT-проектов,Scrum,"Методология управления проектами, которая часто применяется в разработке программного обеспечения.",Управление IT­проектами,"В процессе обучения на практике будут отработаны такие необходимые для менеджера проектов навыки, как формирование проектной документации, подготовка и защита проекта перед руководством компании, формирование ко­ манды проекта и управление человеческими ресурсами, контроль и оценка хода проекта, завершение проекта и подготовка контрольной документации."
Информационные системы и технологии в бизнесе,Руководитель IT-проектов,Управление проектами (Project management),"Навыки управления ресурсами, распределения задач, контроля прогресса, риск-менеджмента, коммуникаций и других аспектов проектной деятельности.",Управление IT­проектами,"Данный курс ориентирован на подготовку менеджеров высшего и среднего звена ИТ отрасли, участвующих в управлении проектами компании, или заинтересованных во внедрении проектного управления в своих подразделениях и компании в целом."
Информационные системы и технологии в бизнесе,Руководитель IT-проектов,Scrum,"Методология управления проектами, которая часто применяется в разработке программного обеспечения.",Управление требованиями,Рассматриваются основные приемы выявления и анализа требований к программному обеспечению.
Информационные системы и технологии в бизнесе,Руководитель IT-проектов,Scrum,"Методология управления проектами, которая часто применяется в разработке программного обеспечения.",Управление IT­проектами,"В процессе обучения на практике будут отработаны такие необходимые для менеджера проектов навыки, как формирование проектной документации, подготовка и защита проекта перед руководством компании, формирование ко­ манды проекта и управление человеческими ресурсами, контроль и оценка хода проекта, завершение проекта и подготовка контрольной документации."
Информационные системы и технологии в бизнесе,DevOps,Git (Gitlab),Система контроля версий,/Не выявлено/,
Информационные системы и технологии в бизнесе,DevOps,Docker,"Открытая платформа для автоматизации развертывания, доставки и запуска приложений в контейнерах, облегчает разработку, тестирование и развертывание приложений",/Не выявлено/,
Информационные системы и технологии в бизнесе,DevOps,Kubernetes,Система управления контейнерами,/Не выявлено/,
Информационные системы и технологии в бизнесе,DevOps,Python,Язык программирования,/Не выявлено/,
Информационные системы и технологии в бизнесе,DevOps,Linux (администрирование),Администрирование в операционной системе linux,Операционные системы,"Дисциплина рассматривает основные принципы функционирования операционных систем. Начиная с нижнего уровня операционной системы, рассматриваются функции управления последовательным выполнением программ, управления параллельными процессами, управления памятью, управления коммуникациями, управления файлами и управления информацией."
Информационные системы и технологии в бизнесе,DevOps,Linux (администрирование),Администрирование в операционной системе linux,Администрирование информационных систем,"В курсе изучаются вопросы применения программ для настройки сервера организации для предоставления основных функций (права доступа для пользователей, почтовый сервер, веб­ сервер) для последующего развертывания прикладных программ (баз данных, приложений для управления задачами)."
Информационные системы и технологии в бизнесе,DevOps,Ansible,Система управления конфигурациями,/Не выявлено/,
Информационные системы и технологии в бизнесе,DevOps,Bash,Скриптовый язык программирования,/Не выявлено/,
Информационные системы и технологии в бизнесе,DevOps,CI/CD,Методология разработки программного обеспечения,Интернет­технологии,В рамках дисциплины студенты учатся разрабатывать современные приложения и размещать их в сети.
Информационные системы и технологии в бизнесе,DevOps,CI/CD,Методология разработки программного обеспечения,Методы и средства проектирования информационных систем,"Дисциплина предлагает освоение теоретических основ проектирования программного обеспечения, разработки и развития архитектуры ПО, методов анализа в данной предметной области."
Информационные системы и технологии в бизнесе,DevOps,Git (Gitlab),Система контроля версий,/Не выявлено/,
Информационные системы и технологии в бизнесе,DevOps,Docker,"Открытая платформа для автоматизации развертывания, доставки и запуска приложений в контейнерах, облегчает разработку, тестирование и развертывание приложений",/Не выявлено/,
Информационные системы и технологии в бизнесе,DevOps,Kubernetes,Система управления контейнерами,/Не выявлено/,
Информационные системы и технологии в бизнесе,DevOps,Python,Язык программирования,/Не выявлено/,
Информационные системы и технологии в бизнесе,DevOps,Linux (администрирование),Администрирование в операционной системе linux,Операционные системы,"Дисциплина рассматривает основные принципы функционирования операционных систем. Начиная с нижнего уровня операционной системы, рассматриваются функции управления последовательным выполнением программ, управления параллельными процессами, управления памятью, управления коммуникациями, управления файлами и управления информацией."
Информационные системы и технологии в бизнесе,DevOps,Linux (администрирование),Администрирование в операционной системе linux,Администрирование информационных систем,"В курсе изучаются вопросы применения программ для настройки сервера организации для предоставления основных функций (права доступа для пользователей, почтовый сервер, веб­ сервер) для последующего развертывания прикладных программ (баз данных, приложений для управления задачами)."
Информационные системы и технологии в бизнесе,DevOps,Ansible,Система управления конфигурациями,/Не выявлено/,
Информационные системы и технологии в бизнесе,DevOps,Bash,Скриптовый язык программирования,/Не выявлено/,
Информационные системы и технологии в бизнесе,DevOps,CI/CD,Методология разработки программного обеспечения,Интернет­технологии,В рамках дисциплины студенты учатся разрабатывать современные приложения и размещать их в сети.
Информационные системы и технологии в бизнесе,DevOps,CI/CD,Методология разработки программного обеспечения,Методы и средства проектирования информационных систем,"Дисциплина предлагает освоение теоретических основ проектирования программного обеспечения, разработки и развития архитектуры ПО, методов анализа в данной предметной области."
Информационные системы и технологии в бизнесе,Тестировщик,SQL,Язык программирования.,Управление данными,"Дисциплина имеет практическую направленность на умение студентами грамотно спроектировать базу данных, построить запросы к ней и разработать информационную систему на ее основе, включая прототипирование интерфейсов пользователей."
Информационные системы и технологии в бизнесе,Тестировщик,Баг-трекинговые системы,"Инструменты, используемые для отслеживания, управления и регистрации ошибок (багов), которые найдены в программном обеспечении или приложениях (Jira, Redmine, YouTrack, TFS и другие).",Тестирование и сопровождение программного обеспечения,"Цели дисциплины охватывают ряд направлений, связанных с планированием тестирования, выявления рисков продукта и проекта, составления критериев входа в тестирование и выхода, управления инцидентами, разработку тестов, выбор методов тестирования, осуществление тестирования, составление итоговой отчетности по тестированию."
Информационные системы и технологии в бизнесе,Тестировщик,Тестирование API,"Проверка функциональности, надежности, безопасности и производительности программного интерфейса приложения.",/Не выявлено/,
Информационные системы и технологии в бизнесе,Тестировщик,Автоматизация тестирования (написание автотестов),"Автоматизация тестирования представляет собой процесс разработки скриптов или программ, которые выполняют тестовые действия и проверяют ожидаемые результаты автоматически.",Тестирование и сопровождение программного обеспечения,"Цели дисциплины охватывают ряд направлений, связанных с планированием тестирования, выявления рисков продукта и проекта, составления критериев входа в тестирование и выхода, управления инцидентами, разработку тестов, выбор методов тестирования, осуществление тестирования, составление итоговой отчетности по тестированию."
Информационные системы и технологии в бизнесе,Тестировщик,Atlassian Jira,"Баг-трекинговая система, представляет собой инструмент для управления проектами, который позволяет командам разработчиков отслеживать ошибки, задачи и запросы на изменение, а также управлять процессом разработки и доставки программного обеспечения.",Управление IT­проектами,"В процессе обучения на практике будут отработаны такие необходимые для менеджера проектов навыки, как формирование проектной документации, подготовка и защита проекта перед руководством компании, формирование ко­ манды проекта и управление человеческими ресурсами, контроль и оценка хода проекта, завершение проекта и подготовка контрольной документации."
Информационные системы и технологии в бизнесе,Тестировщик,Atlassian Jira,"Баг-трекинговая система, представляет собой инструмент для управления проектами, который позволяет командам разработчиков отслеживать ошибки, задачи и запросы на изменение, а также управлять процессом разработки и доставки программного обеспечения.",Тестирование и сопровождение программного обеспечения,"Цели дисциплины охватывают ряд направлений, связанных с планированием тестирования, выявления рисков продукта и проекта, составления критериев входа в тестирование и выхода, управления инцидентами, разработку тестов, выбор методов тестирования, осуществление тестирования, составление итоговой отчетности по тестированию."
Информационные системы и технологии в бизнесе,Тестировщик,Теория тестирования (методология тестирования),"Понимание основных принципов и концепций тестирования, таких как цели тестирования, процесс разработки и выполнения тестовых случаев, различные виды тестов и их применение, а также использование эффективных техник и инструментов для выявления дефектов и повышения качества программного продукта.",Тестирование и сопровождение программного обеспечения,"Цели дисциплины охватывают ряд направлений, связанных с планированием тестирования, выявления рисков продукта и проекта, составления критериев входа в тестирование и выхода, управления инцидентами, разработку тестов, выбор методов тестирования, осуществление тестирования, составление итоговой отчетности по тестированию."
Информационные системы и технологии в бизнесе,Тестировщик,Теория тестирования (методология тестирования),"Понимание основных принципов и концепций тестирования, таких как цели тестирования, процесс разработки и выполнения тестовых случаев, различные виды тестов и их применение, а также использование эффективных техник и инструментов для выявления дефектов и повышения качества программного продукта.",Технология программирования,"В рамках данной дисциплины рассматриваются тестирование, верификация и отладка программных систем."
Информационные системы и технологии в бизнесе,Тестировщик,Тестирование мобильных/ web-приложений,"Умение тестировать как frontend, так и backend части мобильных/веб приложений.",/Не выявлено/,
Информационные системы и технологии в бизнесе,Тестировщик,"Разработка тестовой документации: тест-планы, чек-листы и тест-кейсы","Разработка тестовой документации, включающей анализ требований, план тестирования, тестовые случаи/сценарии, подготовку тестовых данных, выполнение тестов, регистрацию и отслеживание ошибок, а также создание отчетов о выполненных тестах.",Тестирование и сопровождение программного обеспечения,"Цели дисциплины охватывают ряд направлений, связанных с планированием тестирования, выявления рисков продукта и проекта, составления критериев входа в тестирование и выхода, управления инцидентами, разработку тестов, выбор методов тестирования, осуществление тестирования, составление итоговой отчетности по тестированию."
Информационные системы и технологии в бизнесе,Тестировщик,SQL,Язык программирования.,Управление данными,"Дисциплина имеет практическую направленность на умение студентами грамотно спроектировать базу данных, построить запросы к ней и разработать информационную систему на ее основе, включая прототипирование интерфейсов пользователей."
Информационные системы и технологии в бизнесе,Тестировщик,Баг-трекинговые системы,"Инструменты, используемые для отслеживания, управления и регистрации ошибок (багов), которые найдены в программном обеспечении или приложениях (Jira, Redmine, YouTrack, TFS и другие).",Тестирование и сопровождение программного обеспечения,"Цели дисциплины охватывают ряд направлений, связанных с планированием тестирования, выявления рисков продукта и проекта, составления критериев входа в тестирование и выхода, управления инцидентами, разработку тестов, выбор методов тестирования, осуществление тестирования, составление итоговой отчетности по тестированию."
Информационные системы и технологии в бизнесе,Тестировщик,Тестирование API,"Проверка функциональности, надежности, безопасности и производительности программного интерфейса приложения.",/Не выявлено/,
Информационные системы и технологии в бизнесе,Тестировщик,Автоматизация тестирования (написание автотестов),"Автоматизация тестирования представляет собой процесс разработки скриптов или программ, которые выполняют тестовые действия и проверяют ожидаемые результаты автоматически.",Тестирование и сопровождение программного обеспечения,"Цели дисциплины охватывают ряд направлений, связанных с планированием тестирования, выявления рисков продукта и проекта, составления критериев входа в тестирование и выхода, управления инцидентами, разработку тестов, выбор методов тестирования, осуществление тестирования, составление итоговой отчетности по тестированию."
Информационные системы и технологии в бизнесе,Тестировщик,Atlassian Jira,"Баг-трекинговая система, представляет собой инструмент для управления проектами, который позволяет командам разработчиков отслеживать ошибки, задачи и запросы на изменение, а также управлять процессом разработки и доставки программного обеспечения.",Управление IT­проектами,"В процессе обучения на практике будут отработаны такие необходимые для менеджера проектов навыки, как формирование проектной документации, подготовка и защита проекта перед руководством компании, формирование ко­ манды проекта и управление человеческими ресурсами, контроль и оценка хода проекта, завершение проекта и подготовка контрольной документации."
Информационные системы и технологии в бизнесе,Тестировщик,Atlassian Jira,"Баг-трекинговая система, представляет собой инструмент для управления проектами, который позволяет командам разработчиков отслеживать ошибки, задачи и запросы на изменение, а также управлять процессом разработки и доставки программного обеспечения.",Тестирование и сопровождение программного обеспечения,"Цели дисциплины охватывают ряд направлений, связанных с планированием тестирования, выявления рисков продукта и проекта, составления критериев входа в тестирование и выхода, управления инцидентами, разработку тестов, выбор методов тестирования, осуществление тестирования, составление итоговой отчетности по тестированию."
